user|time|tweet|latitude|longitude
EmersonMalheiro|Tue Mar 17 00:08:06 +0000 2015|Com as minhas queridas alunas Monica e Deise, da estimada turma 3209D das FMU, com o MANUAL DE... https://t.co/jLiMvDKueF||
_leeeOo|Mon Mar 16 23:48:37 +0000 2015|I'm at FMU - Campus Liberdade in Sao Paulo, SP https://t.co/v8l6k5h7gc|-23.56080081|-46.63722038
leopelegrine|Mon Mar 16 23:40:24 +0000 2015|2 tempo do dia...vamos de facul  @ FMU - Av brigadeiro https://t.co/9P3W1LZBK1|-23.5601958|-46.64232
TutyLuppi|Mon Mar 16 23:39:43 +0000 2015|Eu estava na FMU do morumbi comendo lanche||
waly_santos|Mon Mar 16 23:33:11 +0000 2015|Lembrando que sabado estou na FMU fazendo uma pequena apresentacao! Encosta com nois! ||
NinaFemista|Mon Mar 16 23:16:41 +0000 2015|I'm at FMU - Predio 40 in Sao Paulo, SP https://t.co/JhuzW6GoxV|-23.56132118|-46.64393501
sirfelipe10|Mon Mar 16 23:07:52 +0000 2015|Estudar! (@ FMU - Liberdade - Predio 34 - @fmuoficial in Sao Paulo, SP) https://t.co/Sx623OBQKy|-23.55974553|-46.63762498
paavettori|Mon Mar 16 23:07:31 +0000 2015|terceiro (yn) (@ FMU - Liberdade - Predio 34 - @fmuoficial in Sao Paulo, SP) https://t.co/a5pMWhVaMW|-23.55974553|-46.63762498
juanpbr|Mon Mar 16 23:06:11 +0000 2015|Ai, nossa meta e ser feliz e nao perfeito hahahaha #nngseguranois  @ Casa de Direito - FMU https://t.co/mNtuwWntkI|-23.5776937|-46.5201416
Well_SantanaL|Mon Mar 16 23:00:59 +0000 2015|Meu dia tava maravilhoso ate eu pisar na porra da fmu e depois ate meu pai abrir a porra da boca dele||
_leeeOo|Mon Mar 16 23:00:08 +0000 2015|I'm at FMU - Campus Liberdade in Sao Paulo, SP https://t.co/oR3kufNODs|-23.56080081|-46.63722038
cierifmu|Mon Mar 16 22:57:01 +0000 2015|Pessoal amanha as 18:30 havera uma reuniao da Atletica de Relacoes Internacionais FMU SP - SAPAO no refeitorio do... http://t.co/pnfsJThTz7||
Valquiria_DLima|Mon Mar 16 22:39:11 +0000 2015|Pos-Graduacao Ginastica Laboral e Ergonomia - FMU http://t.co/uMfkRcjAGu via @Valquiria_DLima||
Valquiria_DLima|Mon Mar 16 22:38:59 +0000 2015|Pos-Graduacao Ginastica Laboral e Ergonomia  FMU http://t.co/uMfkRc1ZhU||
ric_vi|Mon Mar 16 22:18:30 +0000 2015|Me abraca pra sempre amiga  @ Fmu Ana Rosa https://t.co/pRjqxNuX8o|-23.57927669|-46.63958003
smkthekid|Mon Mar 16 22:17:25 +0000 2015| (@ FMU - Campus Ana Rosa in SAO PAULO) https://t.co/PcYdxiRKbf|-23.57974812|-46.639246
AndressaHerrera|Mon Mar 16 22:11:56 +0000 2015|I'm at FMU - Campus Vila Mariana I in Sao Paulo, SP https://t.co/oIfeaGtdEp|-23.58857266|-46.6340297
_be_santana|Mon Mar 16 22:04:56 +0000 2015|I'm at FMU - Campus Morumbi in Sao Paulo, SP https://t.co/BMG0yxwukm|-23.5794124|-46.70594931
Juniella|Mon Mar 16 22:03:32 +0000 2015|I'm at FMU - Campus Liberdade in Sao Paulo, SP https://t.co/zr0QvjYbTd|-23.56080081|-46.63722038
FeCapellari|Mon Mar 16 22:02:59 +0000 2015|"""Voce nao foi pra FMU pq nao quis"" claro pw vc nao fez um inferno na minha vida ano passado ne?! Realmente, eu nao quis ir, como sou trouxa"|-23.5549432|-47.4414727
ebeganskas|Mon Mar 16 21:58:47 +0000 2015|e ai Fmu, cade as minhas DPs e Adaps no site? Hein?||
lezawn|Mon Mar 16 21:53:36 +0000 2015|Aula de linguagem, leitura e discurso  (@ FMU - Predio 9 in Sao Paulo) https://t.co/hMH8kyQFf6||
