user|time|tweet|latitude|longitude
FilLeal|Mon Mar 30 21:49:48 +0000 2015|RT @CongressoPodre: #ReformaPolitica COM #PLEBISCITO E A ESTRATEGIA NOVA DO PT PARA SE MANTER NO PODERAI AQUELA HISTORIANINGUEM SABIA h...||
enterplayer|Mon Mar 30 21:49:47 +0000 2015|A capa da Veja essa semana nao fala do PT. Tem algum escandalo novo do PSDB rolando?||
JainaraMartini|Mon Mar 30 21:49:45 +0000 2015|Cuidar dos pais http://t.co/HbePMl4cId||
631d19a3151948c|Mon Mar 30 21:49:44 +0000 2015|Como e viver com os olhos na ponta dos dedos?: http://t.co/fKumklysY8 via @observadorpt||
malcolm_gw|Mon Mar 30 21:49:44 +0000 2015|@dariojjunior @rcrevelone @alessandrosimas @rogerchequer e simples; Do PT, vejo pessoas que 'cometeram irregularidades' presas. PSDB?||
milotxa6|Mon Mar 30 21:49:43 +0000 2015|RT @12Landim: Ha seis universidades portuguesas entre as melhores do mundo http://t.co/SLekU25IeW via @sharethis||
biacall8|Mon Mar 30 21:49:42 +0000 2015|RT @andreoli69: @hungarobarros @biacall8 Eu penso que deve, pois qq um que entrar pelo PT eles vao malhar. Melhor q o Lula nao tem.||
rorschachie|Mon Mar 30 21:49:42 +0000 2015|"@folha e a tal da ""vontade popular"" vai as picas, ne PT"||
cosme_wilson|Mon Mar 30 21:49:41 +0000 2015|RT @cehdomenici: MILITANCIA VIRTUAL DO PT, NOVA PROFISSAO NOS TEMPOS DA DITADURA PTralha. http://t.co/ja1wdjXlcE||
Tralhas|Mon Mar 30 21:49:41 +0000 2015|Poupar na Suplementacao Desportiva http://t.co/6P3MOmDPSZ #tralhasgratis||
marquezellinews|Mon Mar 30 21:49:39 +0000 2015|Deputado Marquezelli palestra no Simposio de Producao Animal de Pirassununga http://t.co/JLu8K9pnwG||
Polly_Bero|Mon Mar 30 21:49:38 +0000 2015|Eu tirei: Engenheiro! E voce? Qual profissao combina com a sua personalidade? http://t.co/0JQ4Rb28lL||
M_Pedulla|Mon Mar 30 21:49:37 +0000 2015|RT @folha: Comissao deve apoiar reducao da maioridade penal; PT ameaca ir ao STF. http://t.co/LdfcjWZ9CS||
LIABSSA|Mon Mar 30 21:49:35 +0000 2015|RT @UOLNoticias: Tarso Genro defende afastamento preventivo de Vaccari do cargo de tesoureiro http://t.co/2v2cyQFyh1 #PT #LavaJato http://t...||
RichardHerving|Mon Mar 30 21:49:32 +0000 2015|RT @signossiga2: #Capricornio - (31.03.2015): Amanha receba melhor as opinioes. Nao deixe a monotonia tomar ...Previsao completa: http://t...||
Dr_Ironico|Mon Mar 30 21:49:31 +0000 2015|RT @cehdomenici: MILITANCIA VIRTUAL DO PT, NOVA PROFISSAO NOS TEMPOS DA DITADURA PTralha. http://t.co/ja1wdjXlcE||
observadorpt|Mon Mar 30 21:49:30 +0000 2015|PSP iniciou hoje Operacao Pascoa em seguranca: http://t.co/yxl8fF1jKF||
agenteafirma|Mon Mar 30 21:49:29 +0000 2015|RT @MiguelAngeloAKA: SEGUNDO em destaque na Antena1. http://t.co/6Cz0iUCZpR||
valverdejose|Mon Mar 30 21:49:26 +0000 2015|"Nus para promover regresso de ""5 para a Meia-Noite"" http://t.co/OSbft779w2"||
ALZIRALOPES18|Mon Mar 30 21:49:25 +0000 2015|RT @EdileudaRego: Parlamentares do PT na Camara dos Deputados criticaram a tentativa do PSDB de acabar com o programa Mais Medicos, do gove...||
SaraahLoopees|Mon Mar 30 21:49:25 +0000 2015|meu celular deu pt veeei :@ quer ligar mais naaaao||
agenteafirma|Mon Mar 30 21:49:25 +0000 2015|RT @MiguelAngeloAKA: SEGUNDO ja em pre-venda no iTunes! http://t.co/KoRgaV4GDw||
howbrockseesme|Mon Mar 30 21:49:24 +0000 2015|eu nao sei ate que ponto e que podem levar isto a serio http://t.co/huT5YfqPF1||
ptmtoficial|Mon Mar 30 21:49:23 +0000 2015|Em encontro do PT Saguas defende mobilizacao pela Reforma Politica e melhoria na Comunicacao http://t.co/Ks3csP0LN6||
bubuzinha|Mon Mar 30 21:49:23 +0000 2015|"RT @LiviaPetralha: Gostei! Itau e condenado por racismo apos barrar cliente | Brasil 24/7 http://t.co/kKKj1hyaif via @brasil247"||
Castro1954|Mon Mar 30 21:49:22 +0000 2015|Piloto da British Airways tinha planeado despenhar aviao http://t.co/bjQ7RpJmmB||
sergiohang7|Mon Mar 30 21:49:22 +0000 2015|RT @folha: Comissao deve apoiar reducao da maioridade penal; PT ameaca ir ao STF. http://t.co/LdfcjWZ9CS||
carollmachaddo|Mon Mar 30 21:49:22 +0000 2015|Amo convidar meus amigos para o #badoo - Ate ganhei um premio! http://t.co/4Loc4p2n3B http://t.co/LsPBIgkHRa||
Ernesaks|Mon Mar 30 21:49:19 +0000 2015|RT @reinaldoazevedo: PT, o partido que nao ousa dizer seu nome! PT pretende se esconder numa frente ampla pra enganar o eleitor http://t.co...||
chacalcab1|Mon Mar 30 21:49:19 +0000 2015|RT @folha: Comissao deve apoiar reducao da maioridade penal; PT ameaca ir ao STF. http://t.co/LdfcjWZ9CS||
LIABSSA|Mon Mar 30 21:49:19 +0000 2015|RT @folha: Comissao deve apoiar reducao da maioridade penal; PT ameaca ir ao STF. http://t.co/LdfcjWZ9CS||
Lili_LK|Mon Mar 30 21:49:19 +0000 2015|RT @lianechammas: PT agonizando. Deu hoje no programa Manhattan Connection ( Globonews)  que o LULA e o Relacoes Publicas da Odebretch An...||
nrj68|Mon Mar 30 21:49:19 +0000 2015|RT @AldaBinho: O judiciario Baiano, incluindo desembargadores, amanheceu sem seus vencimentos pagos pelo governo do estado da Bahia. O pt e...||
SegPublicaNews|Mon Mar 30 21:49:18 +0000 2015|RT @Nettoss: PATRIA EDUCADORA DO PT: Uniao atrasa verba e faz escolas tecnicas suspenderem Pronatec http://t.co/k12bc8wUas  #ForaDilmaELeve...||
pereira8720|Mon Mar 30 21:49:17 +0000 2015|RT @UOLNoticias: Tarso Genro defende afastamento preventivo de Vaccari do cargo de tesoureiro http://t.co/2v2cyQFyh1 #PT #LavaJato http://t...||
fc_portofas|Mon Mar 30 21:49:17 +0000 2015|RT @maisfutebol: Lopetegui explica a rotatividade http://t.co/MnhLPzRgTk||
FlashPlayG|Mon Mar 30 21:49:17 +0000 2015|"Gostei de um video @YouTube de @guilhermehef http://t.co/9SrcUU5vDX ASSASSIN'S CREED ROGUE #07 || PC 1080p60fps || [PT-BR] Roupa e"||
mm_pt_estupido|Mon Mar 30 21:49:15 +0000 2015|espero que amanha o massagista esteja no clube||
bubuzinha|Mon Mar 30 21:49:15 +0000 2015|"RT @brasil247: Fotografo diz que Luiz Abi ""e o grande caixa financeiro do governador Beto Richa"" http://t.co/ee4qf80yWO via @brasil247"||
MiaRMartin|Mon Mar 30 21:49:13 +0000 2015|RT @PiccoloUniverse: Quanto tempo seu filho passa em frente as telas? http://t.co/6z4bc06F9d||
chupaqueugosto|Mon Mar 30 21:49:11 +0000 2015|Vou para o chat pt||
RoBordosa|Mon Mar 30 21:49:11 +0000 2015|"Doacoes privadas: Rossetto cobra Gilmar | Brasil 24/7 http://t.co/1I1DXV1cho via @brasil247 #DevolveGilmar"||
joserleite|Mon Mar 30 21:49:11 +0000 2015|RT @turquim5: Mesmo assim e o partido mais amado do pais..99% dos jornais do PIG batem no PT http://t.co/eBz9iL0TAY Esquerda Caviar http://...||
AnaClauLopes|Mon Mar 30 21:49:11 +0000 2015|RT @ceciliabourdon: @SenadorCaiado .. Isso e verdade?ISSO E VERGONHOSO:o PT COMPRANDO DEM+PTB @SakaSakamori _m http://t.co/N0rfHPHI7D||
lulucianafelix|Mon Mar 30 21:49:08 +0000 2015|"RT @imPTeachment: ""O PARTIDO QUE JA NAO OUSA DIZER SEU NOME  PT planeja se esconder nas proximas eleicoes para enganar o eleitor""  http://..."||
Famosidades|Mon Mar 30 21:49:06 +0000 2015|"Xiiii.... Giovanna Lancellotti e Sophia Abrahao se estranham nos bastidores de ""Alto Astral"" http://t.co/T7lBMD1bzv"||
aspatuleia|Mon Mar 30 21:49:06 +0000 2015|RT @12Landim: Ha seis universidades portuguesas entre as melhores do mundo http://t.co/SLekU25IeW via @sharethis||
MarceloMieken|Mon Mar 30 21:49:04 +0000 2015|"RT @letraslimitadas: Ate nos estadios o PT e zoado! ""@oscaramarilio: http://t.co/wuwqTyiIBy"""||
Multi_PlayBR|Mon Mar 30 21:49:03 +0000 2015|ASSASSIN'S CREED ROGUE #11 - Circunstancias - Dublado e Legendado PT-BR: http://t.co/dv6VHfInbj via @YouTube||
Jeronimo_Morais|Mon Mar 30 21:49:02 +0000 2015|Voce esta olhando para uma das pessoas mais bacanas no #badoo! http://t.co/0Obryzz4xu http://t.co/zsRzbFPJ7v||
Chesternqrsbr|Mon Mar 30 21:48:56 +0000 2015|Eia pt, so de pensar que quando comecar a escola vou ter que ver pessoas que n quero todos os dias||
benevides_cris|Mon Mar 30 21:48:55 +0000 2015|"Lula diz que PT resgatou a Petrobras e nao esta envolvido no ""Petrolao"" http://t.co/KUxzf9wAlg"||
camidrikka|Mon Mar 30 21:48:53 +0000 2015|RT @palmeriodoria: O presidente Aecio Neves afirmou no Peru que o ciclo do PT chegou ao fim. Prova disso foi a vitoria dele na eleicao de 2...||
Frandias9_|Mon Mar 30 21:48:52 +0000 2015|RT @signossiga2: #Leao - (31.03.2015): Amanha possivel reencontro. Controle os ciumes e evite que a m...Previsao completa: http://t.co/zD3...||
CoeKhenshin|Mon Mar 30 21:48:51 +0000 2015|Gostei de um video @YouTube de @hayashixpg http://t.co/BWxUupArLI Exo Zombies: Mapa Infection - Trailer Legendado PT-BR (AW||
BlogOlhoNaMira|Mon Mar 30 21:48:51 +0000 2015|RT @John_Cudgeon: @BlogOlhoNaMira @CharlesLegnare Aliais, filosofo ja e uma desgraca, do #PT entao.||
profeborto|Mon Mar 30 21:48:49 +0000 2015|RT @John_Cudgeon: @Ezequiasns @profeborto @alvaromsantos1 @edgaarcia @pedrorichter Com certeza apredemos. O problema, e o #PT aprender a re...||
sthefanylemoss|Mon Mar 30 21:48:49 +0000 2015|@Pt_Vieiraa sei disso nao, de carro tenho que reconhecer... Fugimos da morte umas 7 vezes, agr de motoooooooo kkkkkkk pago p ver!||
EuApoioAecioNev|Mon Mar 30 21:48:47 +0000 2015|"Dilma ""amarela"" e desmoraliza o PT.Hoje a tarde, em Capanema (PA), Dilma amarelou e capitulou. Nao governa... http://t.co/ZtvonnYFyl"||
LerNoticias|Mon Mar 30 21:48:44 +0000 2015|Rita Guerra na programacao do Teatro Municipal da Guarda para os proximos quatro meses http://t.co/1AaLx8uYEF||
joserleite|Mon Mar 30 21:48:44 +0000 2015|"RT @turquim5: E.Cunha volta a ser vaiado: machista, corrupto, ""larga o osso"". http://t.co/8d8qWjl3JU @brasil247 http://t.co/PhVRT1poPs"||
JLFiga|Mon Mar 30 21:48:40 +0000 2015|RT @PedradaRN: Varios relatos que o PT, em sua gestao desastrosa, conseguiu estragar tb os Correios. Muita carga desviada, servicos piorand...||
henriquepl10|Mon Mar 30 21:48:40 +0000 2015|@rodrigomsj ta fixe pt, so doi uma beca ainda||
DanteZSC|Mon Mar 30 21:48:39 +0000 2015|RT @SenadorCaiado: Aos jovens! Democratas e oposicao ao governo PT. Fundir o partido a outro governista e manchar a nossa historia! https:/...||
divinodasilvaa|Mon Mar 30 21:48:39 +0000 2015|RT @IvamarLopes: O PT ESTA MUDANDO PROPAGANDAS E A LOGOMARCA DO PARTIDO; O PT TA QUEIMADO E PARA ENGANA O ELEITOR FAZ ATE O DIABO!!! http:/...||
wpedroni04|Mon Mar 30 21:48:36 +0000 2015|@Julylsantos @dyol_fernandes  nao sei pq este pt ta contra diminuicao da maioridade, eh facil menor q nao QR ser preso que nao cometa crime|-23.5697733|-46.5263801
Aninhaodc|Mon Mar 30 21:48:36 +0000 2015|"RT @tonysilva2015: Dilma perde para Lula, mas supera FHC na economia | Brasil 24/7 http://t.co/3pxXyRpVOO via @brasil247"||
semanet|Mon Mar 30 21:48:36 +0000 2015|RT @Ernestospbr: @semanet @Milady_forever Ela ta racional. Se o LEVY sair sera o caos para a Diuma, para o PT e p/ todos os brasileiros. PT...||
GoldmanGreenSea|Mon Mar 30 21:48:35 +0000 2015|O DINHEIRO QUE O PT ROUBOU SENDO RECUPERADO DE VOLTA JA ESTARIA DE BOM TAMANHO...||
AngelaMGonalve1|Mon Mar 30 21:48:32 +0000 2015|RT @Nelsonfsilva1: @AngelaMGonalve1 @murphybr2009 Eles sao ignorantes, mas nao sao bobos. Se isso acontecer sera o golpe de misericordia no...||
Carina_Memories|Mon Mar 30 21:48:29 +0000 2015|Passatempo Doce Pascoa / Vida de Desempregada via @SAPO ShareThis http://t.co/jdhfYlvQ9S||
marcossibulka|Mon Mar 30 21:48:28 +0000 2015|RT @fatimaleaum: @cartacapital Algum dia o PT se colocou como revolucionario e anticapitalista? Nunca soube disso. Continuo Petista, Tem me...||
laertegurgel|Mon Mar 30 21:48:27 +0000 2015|RT @g1politica: Tarso Genro defende afastamento de Vaccari do cargo de tesoureiro do PT http://t.co/XnnC6CALG0||
LUIZCARLOSFURIG|Mon Mar 30 21:48:26 +0000 2015|RT @IvamarLopes: O PT ESTA MUDANDO PROPAGANDAS E A LOGOMARCA DO PARTIDO; O PT TA QUEIMADO E PARA ENGANA O ELEITOR FAZ ATE O DIABO!!! http:/...||
mulher_maravil|Mon Mar 30 21:48:25 +0000 2015|RT @signossiga2: #Gemeos - (31.03.2015): Amanha nao se isole do mundo que o rodeia. Deixe-se conquistar...Previsao completa: http://t.co/z...||
badvuelma|Mon Mar 30 21:48:24 +0000 2015|PT e PMDB discordam sobre reforma politica: presidente da Camara, Eduardo Cunha (PMDB-RJ), garantiu que levara... http://t.co/fIwaHBNUau||
aurelio3601|Mon Mar 30 21:48:24 +0000 2015|Prefeitura de SP gastou R$ 13 mi com alugueis irregulares de imoveis http://t.co/2Od1OJDr0E||
erkopper|Mon Mar 30 21:48:23 +0000 2015|O PT foi o pior maldito Governo de Esquerda e Comunista  para os Nobres Aposentados por tempo de Contribuicao,... http://t.co/UtnKIyHcV1||
luisjag6|Mon Mar 30 21:48:23 +0000 2015|"RT @Guganandes: ""E a pronuncia do Norte""  http://t.co/vNqtbw3ZvP"||
HOR0SCOPOdodia|Mon Mar 30 21:48:22 +0000 2015|#Peixes - (31.03.2015): Amanha tende a ser um dia muito energetico. Podera sentir a ne...Previsao completa: http://t.co/w2rjnVI9Y7||
sitehorosdiario|Mon Mar 30 21:48:22 +0000 2015|#Peixes - (31.03.2015): Amanha tende a ser um dia muito energetico. Podera sentir a ne...Previsao completa: http://t.co/CWgWKAnhvb||
