user|time|tweet|latitude|longitude
user|time|tweet|latitude|longitude
caucapiberibe|Sun Mar 15 14:22:19 +0000 2015|"RT @emirsader: Berzoini reconhece falha na comunicacao do governo Dilma - | Jornal Correio do Brasil http://t.co/JjGQdc4vLs"||
_Belieber_do_JB|Sun Mar 15 14:22:19 +0000 2015|#VotaDulceMaria #KCA  Twitter ta em guerra Apoia Dilma vs Nao apoia Dilma||
pradifundir|Sun Mar 15 14:22:19 +0000 2015|RT @LianeDL: #ImaginaSeADilma tomasse um semancol e desse um Tchau Dilma !!!!||
JarbasVFilho|Sun Mar 15 14:22:19 +0000 2015|RT @blogdejamildo: Jarbas Vasconcelos participa de manifestacao e defende impeachment de Dilma||
AirtonNascimen|Sun Mar 15 14:22:18 +0000 2015|Dilma hoje nao tem pao com mortadela,nem R$ 35,00.Tem o povo brasileiro que nao aguenta mais suas mentiras @dilmabr http://t.co/rniqptBWZz||
fernandoebeling|Sun Mar 15 14:22:18 +0000 2015|RT @folha: Praia de Copacabana e tomada por manifestantes em protesto contra o governo Dilma. http://t.co/wZkzonnQiB||
MarcelodeMarco2|Sun Mar 15 14:22:18 +0000 2015|RT @luizcarlosvasco: Cristina Lobo esta chorando na Globo News, pois ate o Nordeste esta pedindo a saida de Dilma.||
hellentavares1|Sun Mar 15 14:22:18 +0000 2015|Imagina se a dilma vai se importar com esses protestos. Oq sao mil, 100 mil, 200 mil nas ruas perto de 54 milhoes de votos que ela teve?||
slideshowprod|Sun Mar 15 14:22:18 +0000 2015|Manifestantes pedem de intervencao militar a impeachment de Dilma http://t.co/43CwKE9Q3c||
FabioHHonorato|Sun Mar 15 14:22:18 +0000 2015|"RT @delsonbpv: ""@VixXavier: @lufeldman A Cristiana Lobo na @GloboNews defendendo a Dilma com unhas, dentes e desespero, tipicos dos petista..."||
JairTimBeta|Sun Mar 15 14:22:18 +0000 2015|Manifestantes em Fortaleza fazem protesto contra corrupcao: Reforma politica e saida de Dilma tambem sao reivi... http://t.co/kGDE8QqDZY||
ROGERIOPINHE|Sun Mar 15 14:22:18 +0000 2015|Foi rapido demais a queda!!! http://t.co/xAzRL38DEI||
