user|time|tweet|latitude|longitude
pablohein|Sun Mar 15 13:24:10 +0000 2015|RT @JornalOGlobo: TEMPO REAL PROTESTOS: Hino Nacional e metr lotado em Braslia. http://t.co/hHvCiEYyBc http://t.co/VqwAVdId2V||
vanessavbarbosa|Sun Mar 15 13:24:09 +0000 2015|RT @HPozzuto: De nada adiantaro panelaos, twittaos, passeatas e protestos se no fizermos a #ReformaPoltica #MenosOdioMaisDemocracia  ||
Pedro_Kibe123|Sun Mar 15 13:24:09 +0000 2015|#ImaginaSeADilma ligasse pra esses protestos?||
ricardo___rf|Sun Mar 15 13:24:08 +0000 2015|RT @JornalOGlobo: TEMPO REAL PROTESTOS: Hino Nacional e metr lotado em Braslia. http://t.co/hHvCiEYyBc http://t.co/VqwAVdId2V||
ApLeoIBDT|Sun Mar 15 13:24:08 +0000 2015|RT @JornalOGlobo: TEMPO REAL: Siga os protestos pelo pas e no exterior. http://t.co/hHvCiEYyBc http://t.co/LaLkRIDkTH||
ravidlimaa|Sun Mar 15 13:24:07 +0000 2015|"RT @holiBRASIL: O twitter do happy holi Brasil apoia todos os protestos pacficos desse domingo. Coloquem no nick name  ""Fora Dilma""."||
QuelRenneberg|Sun Mar 15 13:24:05 +0000 2015|J comearam os protestos  #ForaDilma #ForaPT||
tainaevaristo|Sun Mar 15 13:24:03 +0000 2015|Acordar e ver esses protestos pela mudana do pas eh algo que oh: |-32.56001076|-53.37975668
_GuilhenAmanda|Sun Mar 15 13:24:03 +0000 2015|RT @MetroJornal_SP: Governo Dilma enfrenta protestos em mais de 200 cidades - http://t.co/7Qs7Orf4Zd http://t.co/slE7VtQAj0||
aninhamattos_|Sun Mar 15 13:24:03 +0000 2015|RT @webdeusa: esses protestos vo adiantar tanto quanto os de 2013||
tatyfereira|Sun Mar 15 13:24:02 +0000 2015|RT @JornalOGlobo: TEMPO REAL PROTESTOS: Hino Nacional e metr lotado em Braslia. http://t.co/hHvCiEYyBc http://t.co/VqwAVdId2V||
gabricards|Sun Mar 15 13:24:02 +0000 2015|Tem gente realmente indo p esses protestos ?||
JuliBalaNatal|Sun Mar 15 13:24:02 +0000 2015|Abraos aos cabras que vo pros protestos apenas pra paquerar as boyzinhas e cabritinhas!#NordestinoNoProtesto||
horacioneto13|Sun Mar 15 13:24:01 +0000 2015|Se eu for pra rua hoje e conseguir perder o bv mesmo que no tenha impeachment os protestos j ter vlido a pena||
webert_ray|Sun Mar 15 13:24:00 +0000 2015|"RT @holiBRASIL: O twitter do happy holi Brasil apoia todos os protestos pacficos desse domingo. Coloquem no nick name  ""Fora Dilma""."||
quinantais|Sun Mar 15 13:24:00 +0000 2015|RT @JornalOGlobo: TEMPO REAL PROTESTOS: Hino Nacional e metr lotado em Braslia. http://t.co/hHvCiEYyBc http://t.co/VqwAVdId2V||
danioliveiralc|Sun Mar 15 13:23:59 +0000 2015|Sobre esses protestos de hj: vou passar o dia estudando||
VanessaAlbino|Sun Mar 15 13:23:59 +0000 2015|Uma coisa eu sabia: daria muita gente nos protestos, porque a onda de dio est grande.Mas eu quero saber de Macap: jogo ou protesto? Kkk|0.0610657|-51.0540033
fernandopandre|Sun Mar 15 13:23:56 +0000 2015|RT @folha: se voc odeia pobre e est nos protestos por favor entre em contato para entrevista.||
spositothiago|Sun Mar 15 13:23:56 +0000 2015|RT @eltonponce: No vi um preto sequer nesses protestos. Sintomtico||
tcmedeiros|Sun Mar 15 13:23:55 +0000 2015|Olha a o ufanismo exagerado nos protestos. Todo mundo com bandeira do Brasil e camisa da seleo...||
PAF68|Sun Mar 15 13:23:55 +0000 2015|RT @ivanmoraesfilho: Se os protestos q os movimentos sociais fazem tivessem 20% da cobertura que a mdia tradicional est dando aos de hoje||
yashagallazzi|Sun Mar 15 13:23:53 +0000 2015|"Caralho, ridculo a Globo News falando que so protestos ""genricos contra a corrupo"", quando se ouvem gritos de FORA PT!"||
