FamilySize;Embarked
2;S
2;C
1;S
2;S
1;S
1;Q
1;S
5;S
3;S
2;C
3;S
1;S
1;S
7;S
1;S
1;S
6;Q
1;S
2;S
1;C
1;S
1;S
1;Q
1;S
5;S
7;S
1;C
6;S
1;Q
1;S
1;C
2;C
1;Q
1;S
2;C
2;S
1;C
1;S
3;S
2;C
2;S
2;S
1;C
4;C
1;Q
1;S
2;Q
1;Q
3;C
2;S
6;S
1;S
2;C
2;S
2;C
1;S
1;S
1;C
4;S
8;S
1;C
1;
2;S
6;S
1;C
3;C
1;S
1;S
7;S
3;S
1;S
8;S
1;S
2;C
1;S
1;S
1;S
1;S
3;S
1;S
1;S
1;S
1;Q
1;S
1;S
4;S
5;S
1;S
6;S
1;S
1;S
1;S
2;S
4;S
1;S
1;S
1;C
2;C
2;S
2;S
1;S
1;S
2;S
1;S
3;S
1;S
1;S
1;S
1;S
2;Q
1;S
2;C
1;S
2;S
1;C
1;S
1;Q
2;S
2;C
7;S
3;S
1;S
2;C
1;S
2;S
2;C
1;Q
1;S
3;C
1;S
1;C
1;S
2;S
2;S
1;S
1;C
3;S
2;S
1;S
1;C
3;C
1;S
2;S
1;Q
1;S
3;S
1;S
5;S
3;S
1;S
1;S
2;S
1;S
3;S
1;S
2;C
1;Q
1;S
1;S
11;S
2;S
1;S
1;S
1;S
6;S
3;S
2;S
6;S
1;S
1;S
1;S
6;Q
3;S
1;S
1;C
3;S
5;S
1;C
1;S
1;S
11;S
1;C
7;S
4;S
3;S
1;S
2;Q
1;S
3;Q
1;S
1;S
1;S
2;S
3;S
1;C
1;C
1;Q
2;S
1;Q
1;S
1;S
11;S
1;S
1;C
1;S
2;S
2;S
1;C
1;Q
1;C
1;S
1;S
1;S
1;S
2;Q
2;C
1;S
2;S
1;C
1;S
1;S
1;S
1;S
1;S
2;S
1;S
1;S
1;S
1;S
5;S
2;S
1;S
1;S
7;S
1;S
1;S
2;S
3;S
1;S
1;S
2;C
2;Q
1;S
1;S
1;C
3;Q
1;S
3;S
3;S
2;S
1;S
3;S
1;S
2;S
3;S
3;C
1;C
1;S
1;C
2;S
1;Q
7;S
3;S
1;S
1;Q
1;S
6;S
2;S
2;S
1;S
1;S
1;S
2;S
2;C
1;Q
2;S
1;S
1;S
6;Q
3;S
1;Q
1;S
1;S
1;S
1;S
1;C
1;S
1;S
1;S
1;Q
1;S
2;C
1;C
1;S
1;S
1;C
1;C
4;S
1;S
2;C
1;Q
3;Q
1;S
1;Q
1;S
4;S
1;C
2;C
2;C
1;C
1;C
5;C
3;S
1;S
3;S
1;S
2;S
1;S
3;S
3;C
1;S
1;S
1;Q
3;S
11;S
1;C
1;S
1;S
3;S
2;C
3;Q
1;S
2;S
3;S
2;S
1;S
2;S
1;C
1;S
1;S
3;S
6;S
1;S
1;S
1;S
1;S
1;S
2;S
3;S
1;S
1;S
1;S
3;C
2;S
1;C
1;S
2;S
1;S
1;Q
1;Q
6;S
2;C
2;C
1;S
2;Q
1;S
2;C
1;C
1;Q
1;C
2;C
2;S
1;S
1;C
5;S
2;C
1;S
3;C
1;C
1;S
1;C
3;C
1;S
2;S
1;S
1;S
8;S
1;S
1;Q
1;C
4;S
1;S
3;S
2;C
3;S
1;S
1;S
1;S
1;S
1;S
1;S
1;S
2;S
2;S
1;S
2;S
1;S
3;S
1;S
5;S
1;S
1;Q
2;Q
1;S
1;S
1;S
3;S
3;S
1;S
3;S
1;C
1;Q
1;S
3;S
3;S
1;S
2;S
1;S
1;Q
1;S
1;S
2;S
2;S
1;S
2;S
4;S
5;S
6;S
6;S
1;S
3;S
1;S
2;S
1;S
1;S
3;S
2;S
1;S
4;C
1;S
4;S
2;S
1;C
2;C
1;S
1;C
1;S
2;S
1;S
1;Q
1;S
1;S
1;S
1;S
1;S
1;S
1;S
1;S
1;Q
4;C
1;S
1;S
4;S
1;C
1;S
1;S
2;S
2;S
1;S
2;S
8;S
1;S
1;S
1;S
2;C
5;S
2;S
1;C
1;S
3;S
2;S
1;S
1;S
1;C
1;S
1;C
2;C
1;S
4;S
1;S
1;S
1;Q
1;Q
1;S
1;S
2;C
3;S
1;S
1;S
1;S
1;Q
1;S
1;S
2;C
1;S
1;S
1;S
1;Q
2;S
1;S
1;S
1;S
1;C
2;C
1;C
1;Q
1;S
1;S
1;S
4;S
3;S
1;C
3;C
3;C
1;S
3;S
1;S
1;C
1;S
3;C
3;S
7;S
7;S
2;S
2;C
1;S
2;S
1;C
3;S
3;S
3;C
1;S
1;Q
1;C
1;S
1;S
2;C
1;C
3;S
2;S
1;Q
1;S
1;S
1;S
1;S
3;S
1;S
5;S
1;C
1;S
1;S
3;S
1;S
1;Q
1;S
1;S
1;S
2;S
2;C
1;S
3;S
3;C
1;S
1;C
1;C
3;S
1;S
3;C
1;S
1;S
1;S
2;C
1;S
3;Q
2;S
3;S
1;S
1;S
1;C
2;C
4;S
1;S
1;S
1;S
1;C
2;S
1;S
1;S
4;C
1;S
7;S
1;S
2;Q
1;Q
1;S
4;S
3;S
2;S
4;S
1;S
2;C
2;S
3;C
1;S
1;S
1;S
1;Q
1;S
1;S
1;Q
1;S
1;S
1;C
1;S
6;S
1;S
1;S
3;S
6;S
2;S
1;S
1;C
6;S
1;S
4;C
2;C
1;S
1;C
1;S
1;S
1;S
2;S
1;S
1;Q
1;Q
3;S
1;S
3;Q
1;S
3;C
3;S
1;C
1;S
1;S
2;S
3;S
1;S
1;S
1;S
2;S
3;S
2;S
1;S
1;S
1;S
1;S
1;S
1;S
8;S
2;C
1;Q
1;C
1;S
8;S
3;S
4;C
6;S
1;S
1;S
2;S
2;S
2;C
1;S
1;C
1;S
1;S
1;S
1;Q
3;C
1;S
2;C
1;S
2;C
1;Q
2;S
