Source;Target;Weight
Brasil;EUA;502
EUA;China;152
Brasil;China;150
China;India;94
Brasil;Alemanha;80
EUA;Japao;72
EUA;Alemanha;67
Brasil;Japao;66
India;Indonesia;66
Argentina;Brasil;62
China;Russia;60
India;Russia;54
Argentina;China;52
EUA;Reino_Unido;52
EUA;India;51
EUA;Russia;50
Argentina;EUA;49
EUA;Franca;47
Brasil;Italia;45
EUA;Italia;45
Argentina;Mexico;44
Brasil;India;43
Argentina;Canada;42
Brasil;Franca;42
Canada;China;40
Mexico;Russia;40
Argentina;Russia;38
China;Alemanha;38
Canada;India;36
Mexico;EUA;35
Argentina;India;34
Canada;Russia;34
China;Japao;34
Brasil;Reino_Unido;33
Brasil;Mexico;33
China;Indonesia;32
Japao;Alemanha;32
Brasil;Russia;31
Alemanha;Italia;29
Brasil;Uniao_Europeia;28
China;Italia;28
Alemanha;Reino_Unido;28
Brasil;Canada;27
Alemanha;Franca;27
Canada;EUA;25
China;Mexico;25
India;Mexico;25
EUA;Uniao_Europeia;23
China;Franca;23
Japao;Italia;23
China;Reino_Unido;22
Argentina;Franca;21
Franca;Russia;20
Japao;Franca;20
Franca;Reino_Unido;19
Argentina;Japao;18
Canada;Mexico;18
Russia;Reino_Unido;18
Japao;India;18
Italia;Reino_Unido;18
Argentina;Reino_Unido;17
Alemanha;Russia;17
India;Alemanha;17
Canada;Alemanha;16
Japao;Reino_Unido;16
Italia;Russia;16
Mexico;Franca;16
Mexico;Italia;16
Mexico;Alemanha;16
Argentina;Italia;15
Argentina;Alemanha;15
Canada;Franca;15
Canada;Reino_Unido;15
Canada;Japao;15
EUA;Indonesia;15
Franca;Italia;15
Japao;Russia;15
Mexico;Reino_Unido;15
Mexico;Japao;15
India;Reino_Unido;15
Canada;Italia;14
China;Uniao_Europeia;14
India;Franca;14
India;Italia;14
Brasil;Indonesia;12
Indonesia;Russia;12
EUA;Inglaterra;10
EUA;Turquia;10
Uniao_Europeia;Italia;10
EUA;Australia;9
EUA;Coreia_do_Sul;9
Indonesia;Mexico;9
Brasil;Australia;8
Uniao_Europeia;Alemanha;8
Brasil;Turquia;7
Australia;Canada;7
Australia;China;7
India;Turquia;7
Argentina;Australia;6
Brasil;Coreia_do_Sul;6
Canada;Indonesia;6
Australia;Indonesia;6
Japao;Coreia_do_Sul;6
Africa_do_Sul;Brasil;6
Africa_do_Sul;EUA;6
Brasil;Inglaterra;5
Australia;Mexico;5
Australia;India;5
Uniao_Europeia;Reino_Unido;5
Japao;Uniao_Europeia;5
Africa_do_Sul;India;5
Indonesia;Turquia;5
Argentina;Indonesia;4
EUA;Arabia_Saudita;4
China;Coreia_do_Sul;4
China;Turquia;4
Japao;Indonesia;4
Africa_do_Sul;China;4
Africa_do_Sul;Russia;4
Africa_do_Sul;Indonesia;4
Coreia_do_Sul;Alemanha;4
Turquia;Russia;4
Australia;Russia;3
Arabia_Saudita;Uniao_Europeia;3
Uniao_Europeia;Franca;3
Uniao_Europeia;Russia;3
Africa_do_Sul;Mexico;3
Coreia_do_Sul;Franca;3
Alemanha;Inglaterra;3
Franca;Inglaterra;2
Russia;Inglaterra;2
Reino_Unido;Inglaterra;2
Arabia_Saudita;Russia;2
Arabia_Saudita;Turquia;2
Japao;Australia;2
Japao;Inglaterra;2
Africa_do_Sul;Australia;2
Africa_do_Sul;Reino_Unido;2
Africa_do_Sul;Turquia;2
Alemanha;Australia;2
Turquia;Alemanha;2
Argentina;Uniao_Europeia;1
Argentina;Inglaterra;1
China;Inglaterra;1
Reino_Unido;Australia;1
Arabia_Saudita;Australia;1
Arabia_Saudita;Franca;1
Arabia_Saudita;Alemanha;1
Uniao_Europeia;Australia;1
Japao;Turquia;1
Italia;Inglaterra;1
Africa_do_Sul;Canada;1
Africa_do_Sul;Alemanha;1
Coreia_do_Sul;Australia;1
Coreia_do_Sul;Indonesia;1
Coreia_do_Sul;India;1
Mexico;Inglaterra;1
Mexico;Turquia;1
Indonesia;Reino_Unido;1
Indonesia;Alemanha;1
India;Arabia_Saudita;1
Turquia;Franca;1
Turquia;Uniao_Europeia;1
