user|time|tweet|latitude|longitude
ritabgrb|Sun Mar 15 14:13:51 +0000 2015|tenho teste amanhã mas nem sei o que vai sair||
pragavonne|Sun Mar 15 14:13:51 +0000 2015|Meu Tweet teste enviou né, agora os do happy 3 years sober Demi não ÓDIO SÓ PQ QUERO FICAR AQUI O DIA INTEIRO||
user|time|tweet|latitude|longitude
Rafael7P|Sun Mar 15 14:14:24 +0000 2015|O outro teste demorou 3 semanas a corrigir, como  que ela quer corrigir este em 3 dias?!||
MarceloBolt_09|Sun Mar 15 14:14:18 +0000 2015|I liked a @YouTube video from @davyjonesrj http://t.co/2sC7gZuZ61 GTA V - INSURGENT o carro Blindado MESMO, Teste de RESISTENCIA||
fabiosg0|Sun Mar 15 14:14:18 +0000 2015|RT @Brunoltd32: Ja me estou a cagar para o teste de amanha so quero ferias||
isabelatoddy|Sun Mar 15 14:14:08 +0000 2015|boatos que eu estou fazendo teste de mecha pra ficar loiraaaaaaaaaa||
vuintrieri|Sun Mar 15 14:14:07 +0000 2015|O meu tipo de personalidade  Lgico. Parece que acertou...  http://t.co/nidd8QoD2H #16Personalities via @16Personalities||
brunalmeiiida|Sun Mar 15 14:14:06 +0000 2015|mood: a cagar-me para o teste de amanh||
ritabgrb|Sun Mar 15 14:13:51 +0000 2015|tenho teste amanh mas nem sei o que vai sair||
pragavonne|Sun Mar 15 14:13:51 +0000 2015|Meu Tweet teste enviou n, agora os do happy 3 years sober Demi no DIO S PQ QUERO FICAR AQUI O DIA INTEIRO||
jmsapinho|Sun Mar 15 14:13:41 +0000 2015|RT @Franisc0Ram0s: Fds ter 1 teste e 2 apresentaes esta semana ||
MiguelFefs|Sun Mar 15 14:13:20 +0000 2015|Nesta tarde ou estudava para o teste de amanh ou ia ver a equipa B a alcochete e depois a principal a casa. Siga alcochete! #DiaDeSporting||
JPedroNatal|Sun Mar 15 14:13:15 +0000 2015|RT @ficoporcima: Triste  a vida daqueles que ainda tm teste na ltima semana de aulas.||
EvilGroselha|Sun Mar 15 14:13:11 +0000 2015|RT @leorossatto: TESTE DE LGICA proibido ir no protesto de vermelho A cor do PPS  vermelhoO PPS vai no protestoPergunta: vo bater n||
YonaraRodrigue1|Sun Mar 15 14:13:07 +0000 2015|RT @victorsilwa: trabalho, teste, atividade, escola, sono, meu dia se resume a isso||
euanneju|Sun Mar 15 14:13:02 +0000 2015|Sem celular por um dia foi to teste de resitncia||
ananas_1893|Sun Mar 15 14:12:58 +0000 2015|Tenho um teste na ltima semana de aulas, desde quando  que isto faz sentido (?)||
GonaloSgoncalo|Sun Mar 15 14:12:54 +0000 2015|RT @mesmoporreiro: Quando tens teste na ultima semana de aulas :)||
Weversooon|Sun Mar 15 14:12:52 +0000 2015|Gostei de um vdeo @YouTube de @starkvfx http://t.co/HuhTpE0wTg INTRO #141 ll BrazDZN v2 ll By StarkVFX ( teste de animao )||
javaddfoda|Sun Mar 15 14:12:42 +0000 2015|RT @horantalentosa: hj faz 5 anos que o zayn fez o teste, e eu quero agradecer a trisha por ter feito ele levantar da cama #KCA #Vote1DUK h||
irolenze|Sun Mar 15 14:12:36 +0000 2015|ESTOU A TER O MAIOR FUCKING ATAQUE DE ANSIEDADE POR CAUSA DO TESTE DE MATEMTICA DA TURMA A||
ays_fiv3|Sun Mar 15 14:12:36 +0000 2015|Teste amanha :/ alguem se disponibiliza? Nao? Obrigada.||
ericarpfs|Sun Mar 15 14:12:32 +0000 2015|Adoro vou ter teste amanh e s estudei um pouco na sexta|38.76252137|-9.28178696
catiasof16|Sun Mar 15 14:12:15 +0000 2015|Nem sei se  tera ou quarta que tenho o teste de FQ||
CatarinaF997|Sun Mar 15 14:11:49 +0000 2015|Esta semana ainda tenho teste de histria||
BritiCatarina|Sun Mar 15 14:11:49 +0000 2015|RT @miana_cm: Bem tenho que ir mesmo estudar.... s falta mais um teste e dp estou de frias! :))||
jeh_quevedo|Sun Mar 15 14:11:48 +0000 2015|tatty quando foi pro teste fez uma barulheira       e eu acordei||
LilianaMag14|Sun Mar 15 14:11:45 +0000 2015|RT @theawesomeekid: amanh  o ultimo teste||
albertorbeirof|Sun Mar 15 14:11:45 +0000 2015|RT @CAPRICHO: TESTE: Qual casal clssico de Malhao mais combina com a sua vida? http://t.co/DH5Gb1bCqU http://t.co/T9k0jHV5qD||
CavaBuracos|Sun Mar 15 14:11:44 +0000 2015|Espero que nao haja teste de Filosofia!||
alcinoafonso|Sun Mar 15 14:11:33 +0000 2015|Ultima semana e ainda tenho teste Fdc que tristeza||
ASoufofinhaa|Sun Mar 15 14:11:30 +0000 2015|Mas vou ter teste a ingls||
meninadele19|Sun Mar 15 14:11:29 +0000 2015|amanha e o ultimo teste, graas a deus||
Luklinhaas|Sun Mar 15 14:11:26 +0000 2015|Este aplicativo chamado mCent d a voc mais tempo para falar no celular a partir de teste de novos aplicativos: https://t.co/WLeR95Yfxl||
NMestico|Sun Mar 15 14:11:21 +0000 2015|Todos contentes com a greve mas agora ta foda a estudarem para o teste que era suposto ser sexta||
fifinha33|Sun Mar 15 14:11:15 +0000 2015|tempo to bom para sair e eu ainda tenho teste amanh||
IittIetaIks|Sun Mar 15 14:11:09 +0000 2015|amanha tem teste nossa q merda||
taniafmartins|Sun Mar 15 14:11:08 +0000 2015|RT @gajo_sexy_da_tl: Tenho teste amanh e ainda no estudei nada||
JonyGrilo|Sun Mar 15 14:11:08 +0000 2015|Milhares de alunos ja n tem testes e eu ainda tenho 1 teste e uma apresentaao||
mcsoteixeira|Sun Mar 15 14:10:59 +0000 2015|Vai sair bus merdas para o teste de histria e nem sei nada, tou fdd||
Dayanne_Lari|Sun Mar 15 14:10:51 +0000 2015|RT @LiamPayneNewsBR: Hoje faz 5 anos que Zayn fez seu teste para o The X Factor. Que orgulho! #KCA #Vote1DUK http://t.co/DPK5EhNPIq||
daniela924pinto|Sun Mar 15 14:10:45 +0000 2015|Amanha tenho o ultimo teste do periodo||
ines_twin|Sun Mar 15 14:10:36 +0000 2015|Algum q faa amanh o teste por mim v laaaaaaaa||
hometomendes|Sun Mar 15 14:10:33 +0000 2015|@hersdallas @canifflopada @quemevcmagcult bom teste ||
_Luana_Costa_15|Sun Mar 15 14:10:27 +0000 2015|Teste de macs amanha||
_Luana_Costa_15|Sun Mar 15 14:10:10 +0000 2015|RT @theawesomeekid: amanh  o ultimo teste||
Franisc0Ram0s|Sun Mar 15 14:10:05 +0000 2015|Fds ter 1 teste e 2 apresentaes esta semana ||
panda_lopes|Sun Mar 15 14:10:01 +0000 2015|RT @DiogoSeriz: Quando um professor te apanha a copiar no teste e tu ficas ali a fingir que ests a pensar na resposta http://t.co/M0V93wa9||
miguelfsreis|Sun Mar 15 14:09:59 +0000 2015|Tenho de meter na cabea que amanha  o ultimo teste e depois logo tenho tempo para tudo||
NunooFerreiraa|Sun Mar 15 14:09:54 +0000 2015|amanha tenha o ultimo teste deste perodo, podia no ter se no tivesse faltado||
SrNinjaPvP|Sun Mar 15 14:09:44 +0000 2015|Gostei de um vdeo @YouTube de @ale_games14 http://t.co/sFJrhijnjw PvP Swagkits [ TESTE ]||
GonaloSgoncalo|Sun Mar 15 14:09:27 +0000 2015|Para a semana ainda tenho um teste||
lscj11|Sun Mar 15 14:09:27 +0000 2015|RT @cutesiall: com uma vontade para ter teste tera-feira||
worldraissa|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
buterafeatmaraj|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
Malenaticos|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
smilesmccurdy|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm1|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm11|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
OnikaNnickiminj|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm10|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm13|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm20|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm17|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm2|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm16|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm19|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm21|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
Votenm15|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm22|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm23|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm24|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm25|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm26|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm7|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm3|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm5|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm4|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm6|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm8|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
votenm9|Sun Mar 15 14:09:19 +0000 2015|AMANHA EU TENHO TESTE, TENHO QUE ESTUDAR HJ  #VoteNickiMinaj #KCA||
TiagoPic25model|Sun Mar 15 14:09:09 +0000 2015|S vou ter sor de fq na ultima semana e ainda n recebemos o 1 teste nem fizemos outro. Nem temos matria||
thafeb|Sun Mar 15 14:09:07 +0000 2015|RT @natcfc: antes de ir pro protesto tinha que ter um teste bsico de voc sabia que a presidente no governa o pas sozinha?????||
cutesiall|Sun Mar 15 14:09:05 +0000 2015|com uma vontade para ter teste tera-feira||
marcosmunizds|Sun Mar 15 14:09:04 +0000 2015|Pessoas que nasceram entre 1945 e 1965 devem fazer o exame que detecta a hepatite C. Teste est... http://t.co/7CjOUeoRUG||
raphael720|Sun Mar 15 14:08:48 +0000 2015|ENFPATIVISTAEspritos livres, criativos, sociveis e entusiasmticos, sempre encontrando uma razo para sorrir. http://t.co/2cP0FdbC9Z||
suacacol|Sun Mar 15 14:08:25 +0000 2015|Todo mundo da minha sala j estudou pro teste e eu ??????? Eu no porra nenhuma,mano scrr|-22.8364789|-47.1604438
jmsapinho|Sun Mar 15 14:08:14 +0000 2015|RT @Brunoltd32: Ja me estou a cagar para o teste de amanha so quero ferias||
djaniraclaudia|Sun Mar 15 14:08:08 +0000 2015|RT @catarinaabv: O meu stor de histria decididamente estava drogado quando resolveu que o livro todo ia sair para o teste||
Poxavida_deeh|Sun Mar 15 14:07:59 +0000 2015|RT @SeriesCitei: A vida toda  um teste.  The Walking Dead||
TiagoPic25model|Sun Mar 15 14:07:57 +0000 2015|RT @its_junior_gong: s me falta um teste e tou mm a cagar no gajo||
4reallz|Sun Mar 15 14:07:55 +0000 2015|amanh tenho teste de Filosofia e de matemtica fds||
RrricardoFlores|Sun Mar 15 14:07:47 +0000 2015|Pq teste de matemtica???|41.2402739|-8.7000227
joanaifmendes|Sun Mar 15 14:07:38 +0000 2015|Os meus pais querem ir sair de tarde mas no me apetece, ainda por cima tenho que estudar para o teste de amanh|40.243239|-8.5667099
PowerGamersWar|Sun Mar 15 14:07:28 +0000 2015|Gostei de um vdeo @YouTube de @ale_games14 http://t.co/OPxGd3ygWc PvP Swagkits [ TESTE ]||
catarinaplopes|Sun Mar 15 14:07:27 +0000 2015|RT @NadiaHanyeli: O teste oral passou para sexta!!!||
RitaPereira469|Sun Mar 15 14:07:24 +0000 2015|@MartaSantosLima manda-me foto no fb do teu teste de filosofia do conhecimento!!||
Carolina_CIFS|Sun Mar 15 14:07:21 +0000 2015|Ter teste amanha e ainda no ter estudado quase nada, perturbou o meu sono esta noite||
alaninha__alves|Sun Mar 15 14:07:02 +0000 2015|Amanh tenho teste de qumica, Lus Cludio vai me endoidar||
_OkayGiih|Sun Mar 15 14:06:59 +0000 2015|Prepara que isso aqui  s um teste. ||
verinha_06|Sun Mar 15 14:06:54 +0000 2015|e tenho teste na segunda e tera!||
lipemacedo2|Sun Mar 15 14:06:53 +0000 2015|E que se foda seu teste de proceder cuzo, no da pra se livrar do lixo se o lixo for voc..||
inesfer14|Sun Mar 15 14:06:48 +0000 2015|RT @DiogoSeriz: Quando um professor te apanha a copiar no teste e tu ficas ali a fingir que ests a pensar na resposta http://t.co/M0V93wa9||
Loucurinhaa|Sun Mar 15 14:06:40 +0000 2015|Eu e a Julia temos teste amanha e na tera, trabalho de grupo de ciencias e de FQ, fazer cupcakes p vender sexta, e o contrato de leitura ||
achocolateee|Sun Mar 15 14:06:38 +0000 2015|RT @QueridaDianinha: como  possvel haver teste na ltima semana de aulas antes das frias da pscoa (??)||
jppeddroo|Sun Mar 15 14:06:30 +0000 2015|tenho teste amanh e ainda no estudei nada shit||
whereverIstay|Sun Mar 15 14:06:29 +0000 2015|Que amanh o teste seja fcil ||
vittishippador|Sun Mar 15 14:06:21 +0000 2015|Esse teste da capricho, falo nada...||
fifinha33|Sun Mar 15 14:06:02 +0000 2015|amanh vou fazer o ltimo teste e aposto que me vai correr muito mal||
vittimassacrar|Sun Mar 15 14:05:58 +0000 2015|@alannalemosal ele cuidou dele desde pequena, e acho q um teste de DNA nao vai mudar uma vida toda||
saatanas666|Sun Mar 15 14:05:57 +0000 2015|Vocs no sabem a dor que  ter um teste de histria sexta na ultima semana de aulas ||
Sofia_ASLM|Sun Mar 15 14:05:53 +0000 2015|Tenho teste tera mas hoje no vou estudar nada||
itslucunha|Sun Mar 15 14:05:48 +0000 2015|RT @natcfc: antes de ir pro protesto tinha que ter um teste bsico de voc sabia que a presidente no governa o pas sozinha?????||
AnaRitaaMarques|Sun Mar 15 14:05:44 +0000 2015|Ultima semana de aulas e eu ainda tenho um teste||
Madalenamip|Sun Mar 15 14:05:35 +0000 2015|Mas tem que ser tenho teste amanha #lt||
RitaPereira469|Sun Mar 15 14:05:31 +0000 2015|@im_Barbara_xo ja fizeste teste do conhecimento a fil nao j?Tira foto e manda me no fb!!!||
69_Hawaii|Sun Mar 15 14:05:29 +0000 2015|As aulas quase a acabar e eu ainda com teste para a semana||
gabrielraffael_|Sun Mar 15 14:05:28 +0000 2015|nico teste que deu verde ! Hahahaa amm!  http://t.co/rRIESVmQDk|-23.1012255|-52.4536954
jasemingomes|Sun Mar 15 14:05:23 +0000 2015|Aposto que o teste de macs amanh vai corre uma bela merda.||
catarinaabv|Sun Mar 15 14:05:19 +0000 2015|O meu stor de histria decididamente estava drogado quando resolveu que o livro todo ia sair para o teste||
onewishrightnow|Sun Mar 15 14:05:16 +0000 2015|J estou a stressar pq n posso baixar a nota do ltimo teste e esta matria  to da treta|38.8143221|-9.3893397
PrisntItAPity|Sun Mar 15 14:05:06 +0000 2015|RT @natcfc: antes de ir pro protesto tinha que ter um teste bsico de voc sabia que a presidente no governa o pas sozinha?????||
ABuu_bunda|Sun Mar 15 14:04:55 +0000 2015|RT @wtvjoana: amanh vou receber o teste de portugus e espero bem tirar um 70%||
xanamaiia|Sun Mar 15 14:04:51 +0000 2015|Tenho teste amanha de ciencias... Ja andamos a aduar isto ha uma semana!||
orgiagrey|Sun Mar 15 14:04:47 +0000 2015|A questo  assistir minhas sries ou montar meu solo p teste ???||
layane1D_|Sun Mar 15 14:04:41 +0000 2015|RT @LiamPayneNewsBR: Hoje faz 5 anos que Zayn fez seu teste para o The X Factor. Que orgulho! #KCA #Vote1DUK http://t.co/DPK5EhNPIq||
natcfc|Sun Mar 15 14:04:36 +0000 2015|antes de ir pro protesto tinha que ter um teste bsico de voc sabia que a presidente no governa o pas sozinha?????||
